id,date,text,retweet_count
Poun,2020-11-12 23:47:54+00:00,"RT @EmmanuelMacron: Les destins d'un habitant de Rio, Lagos, Canberra, Vienne, Paris, Dakar n'ont jamais été si liés qu'aujourd'hui. Santé,…",612
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Cyd Harrell,2021-10-07 21:16:59+00:00,Bay Area counties setting a marker for future suspension of mask mandates (none of us meet this list yet) - interes… https://t.co/uBby3KM101,0
Cyd Harrell,2021-10-07 21:06:51+00:00,lol the most SF tweets https://t.co/vLB3J32nT6,1
Cyd Harrell,2021-10-07 20:44:02+00:00,@KatVellos https://t.co/f68TV7qHuf,0
Cyd Harrell,2021-10-07 20:32:34+00:00,RT @dog_rates: This is Bush. It was very windy at the beach today but he remained anchored. 13/10 great work buddy (IG: bushandreagan) http…,16719
Cyd Harrell,2021-10-07 15:11:12+00:00,RT @shannonmstirone: Shipping twitter meets astronomy twitter,58
Cyd Harrell,2021-10-07 15:04:31+00:00,"@wheelyweb I don’t think Pinboard, one of the premier analysts of these things, would use “web” imprecisely",0
Cyd Harrell,2021-10-07 14:50:30+00:00,@_loveallthis ❤️❤️❤️,0
Cyd Harrell,2021-10-07 05:12:43+00:00,"RT @jathansadowski: Even in much critical discussion about technology, judgements based on technical parameters routinely supersede those b…",16
Cyd Harrell,2021-10-07 04:27:33+00:00,this is good content https://t.co/vGtFMHFGjI,3
Cyd Harrell,2021-10-07 02:28:06+00:00,@leeloowrites you're not. promise. (&amp; I know this feeling - sending strength),0
Cyd Harrell,2021-10-07 01:55:52+00:00,"@tressiemcphd I felt the corrective force of your ""Respectfully"" all the way over here in California.",0
Cyd Harrell,2021-10-07 01:48:10+00:00,"thought it was going to be a really hard one with all those pretty leaves, but I #FoundThatLizard! https://t.co/Gz1kI2DHOa",0
Cyd Harrell,2021-10-07 00:49:33+00:00,RT @NicoleSganga: BREAKING in United States v. Texas: Judge Pitman issued a preliminary injunction temporarily barring enforcement of Texas…,1120
Cyd Harrell,2021-10-07 00:40:52+00:00,RT @operaqueenie: Are you launching a startup? Thinking about having a shared ownership model (co-op)? Check out this accelerator:,12
Cyd Harrell,2021-10-07 00:40:07+00:00,"RT @egoodman: Head Start (yup, the kids program) needs a technical leader who is good with ""complex bureaucratic work environments"" and som…",7
Cyd Harrell,2021-10-07 00:39:37+00:00,big State of CA data architect job - apply by Saturday! https://t.co/YFUdWyeNfz,4
Cyd Harrell,2021-10-06 23:44:53+00:00,RT @katieharbath: I learned today from @collierfernekes that baby owls sleep on their stomachs. It’s also an accurate representation of how…,10
Cyd Harrell,2021-10-06 23:28:53+00:00,@migurski your collection of references is still undefeated! omg sad lol,0
Cyd Harrell,2021-10-06 23:28:16+00:00,interesting thread https://t.co/ECL8wBhlLW,1
Cyd Harrell,2021-10-06 23:25:24+00:00,@migurski literal LOL - what if...a drone? with a special charger that has its own firmware?,0
Cyd Harrell,2021-10-06 23:22:17+00:00,"@migurski seriously, are you relying on a Bronze Age technology to feed yourself and your family?!",0
Cyd Harrell,2021-10-06 23:14:20+00:00,FaaS - brilliant https://t.co/nEncAkN4UT,6
Cyd Harrell,2021-10-06 23:05:20+00:00,"RT @histoftech: This. And, as more women enter a field the pay GOES DOWN. So if women “chose” the “right subjects” in high numbers those wo…",769
Cyd Harrell,2021-10-06 20:05:33+00:00,"@steveportigal granted Hoover was racist, I am a bit surprised. should I take this down do ya think?",0
Cyd Harrell,2021-10-06 20:02:03+00:00,"@SourceCodeTara I was alive in this era &amp; I believe that just means ""the gloppy stuff in a jar, not powdered""",0
Cyd Harrell,2021-10-06 19:59:48+00:00,a designer in every pot,1
Cyd Harrell,2021-10-06 19:50:52+00:00,@leeloowrites my mom &amp; sister adore headcheese... yeah,0
Cyd Harrell,2021-10-06 19:50:13+00:00,RT @denise_dewald: Literally all vaccine-preventable childhood illnesses were once endemic. We don’t have them anymore because of school va…,38
Cyd Harrell,2021-10-06 19:44:06+00:00,"gonna replace all ""how the sausage gets made"" references with this https://t.co/c15s7XmXWx",0
Cyd Harrell,2021-10-06 19:36:00+00:00,"@karenmcgrane @tcarmody ""are the cats supposed to sound that sharp &amp; loud?"" &lt;-- me",0
Cyd Harrell,2021-10-06 19:32:12+00:00,"RT @shannonrwatts: My God. This makes me nauseous. We don’t have to live like this. Our children sure as hell shouldn’t die like this. 

Ge…",1254
Cyd Harrell,2021-10-06 17:36:22+00:00,"@Aiyaruk hm, good point - although my impression is that these apps are often created by/for the convenience of men… https://t.co/lV43VHlnUy",0
Cyd Harrell,2021-10-06 17:20:31+00:00,"RT @innovationwonk: Many of my close federal and state govt colleagues, especially those that have worked nonstop on #Covid_19 response sin…",9
Cyd Harrell,2021-10-06 17:15:53+00:00,RT @polotek: This is a really incredible portrait of a family trying to make their fortunes in America. It illustrates how a lot of the thi…,31
Cyd Harrell,2021-10-06 17:03:15+00:00,@aedwardslevy this is especially great when you're getting to the website from a link in a personalized email the c… https://t.co/ZNlnmqvCHY,0
Cyd Harrell,2021-10-06 16:59:36+00:00,"@_danilo Webvan was so close, dammit",0
Cyd Harrell,2021-10-06 16:45:11+00:00,"also, this is just beautifully written. ""anything from a bunch of bananas to a can of soda to a carton of oat milk… https://t.co/tLEeowa7Wz",4
Cyd Harrell,2021-10-06 16:43:12+00:00,"@ddt the business model was never gonna work, but I do appreciate that 90s boom startups gave the delivery staff equity",0
Cyd Harrell,2021-10-06 16:36:09+00:00,https://t.co/Jj6vPKa4gf is a warning not a manual https://t.co/2jFuwWRGdI,0
Cyd Harrell,2021-10-06 15:44:00+00:00,"&amp; then when you go from signals of ""popular"" like ""bought a copy"" to the much more slippery concept of ""engagement""… https://t.co/4qtQRf0NPU",0
Cyd Harrell,2021-10-06 15:42:26+00:00,"I mean, my 17-year-old used slightly more adult words in indicating that no the fuck she would not be doing any  Zo… https://t.co/i97HUlV62g",0
Cyd Harrell,2021-10-06 15:38:07+00:00,"honestly, these algorithms are largely *terrible* at actual personalization - they amplify obviously related things… https://t.co/9EjflNLaLl",8
Cyd Harrell,2021-10-06 14:34:50+00:00,RT @ilCognoscentini: @JoyceCarolOates Ursula LeGuin on the singular ‘they’ https://t.co/gOrzb56WtA,2266
Cyd Harrell,2021-10-06 01:43:03+00:00,@hondanhon omg,0
