id,date,text
United Airlines,2021-10-05 21:06:57+00:00,@TarHeelzCEO10 We apologize that this was the case today and appreciate you hanging in there. Our teams are working… https://t.co/hOXwWibk3C
United Airlines,2021-10-05 21:04:23+00:00,"@___schmitty___ Hi there, Erin. We're sorry to hear that this has been your mother-in-law's experience. If she's in… https://t.co/A17lQR8sm8"
United Airlines,2021-10-05 20:59:44+00:00,"@GEAviation 🎶Headin' into twilight
Spreadin' out our wings tonight"
United Airlines,2021-10-05 20:43:06+00:00,@TarHeelzCEO10 Thank you. What was your original flight number? ^KF
United Airlines,2021-10-05 20:37:02+00:00,@TarHeelzCEO10 What is your flight number? ^KF
United Airlines,2021-10-05 20:35:50+00:00,@TarHeelzCEO10 We're sorry for any trouble today. Have you been able to reach an agent at the airport for assistance? ^KF
United Airlines,2021-10-05 20:31:19+00:00,"@ericwooley Hi, Eric. If we can offer assistance please reach us in DM. ^KF https://t.co/Y6hG6uklaR"
United Airlines,2021-10-05 20:04:11+00:00,@samberrie You're welcome to send a DM. ^KF https://t.co/Y6hG6uklaR
United Airlines,2021-10-05 19:58:11+00:00,@HurrikanePDX Hi there. Please send details to our teams here when you have a moment: https://t.co/VmfIaNRGNN. ^KF
United Airlines,2021-10-05 19:51:42+00:00,"@samberrie Hi, Sam. What's going on today? ^KF"
United Airlines,2021-10-05 19:49:56+00:00,@CoolStoryCojo We're terribly sorry. We suggest reaching out to our Baggage Resolution Center directly at 1-800-335… https://t.co/oN4GQJ1mSs
United Airlines,2021-10-05 19:33:25+00:00,🎶 Highway to the takeoff zone. https://t.co/WcoE89pIjy
United Airlines,2021-10-05 19:29:29+00:00,@CoolStoryCojo Hi there. You will need to file a missing items report here: https://t.co/XGGwD57mVo. ^KW
United Airlines,2021-10-05 19:16:38+00:00,"@hillarydock Hi, Hillary. If you are having issues with uploading travel documents, please bring them to the airpor… https://t.co/gppTA84eqr"
United Airlines,2021-10-05 19:08:59+00:00,"@tonyathesk8rgrl Hi there. We're sorry to hear that this has been your experience. When you have a moment, please D… https://t.co/Yu3BSYwpaW"
United Airlines,2021-10-05 18:58:03+00:00,@EricMooreJr We appreciate you sharing this with us. Were you able to receive any assistance? ^LT
United Airlines,2021-10-05 18:46:51+00:00,"@tonylyle We are thrilled to celebrate this achievement with you Tony, thank you so much for your loyalty. You are… https://t.co/Rzww2dYffo"
United Airlines,2021-10-05 18:42:23+00:00,"@EricMooreJr Hello, have you alerted your flight attendants? ^LT"
United Airlines,2021-10-05 18:21:34+00:00,"@JenLangWrites Hi, Jennifer. Have you contacted our MileagePlus team regarding these concerns? If so, please DM us… https://t.co/Pbwl5nTUw7"
United Airlines,2021-10-05 18:05:51+00:00,"@laurashunk Hi, Laura. Please DM us your last name, confirmation number and KTN number so we can take a closer look at your reservation. ^AB"
STARBURST,2021-10-05 18:30:03+00:00,@Super_jillop Don't be scared. Go make a TikTok.
STARBURST,2021-10-05 18:29:43+00:00,@twix Could it be?! A Left and a Right Little Lad?!?!
STARBURST,2021-10-05 17:52:15+00:00,Head to our TikTok to find out how you could be mummy's favorite Little Lad for Halloween! https://t.co/OsL6y3SQTi https://t.co/Wb0kqG9FHf
STARBURST,2021-10-05 17:39:28+00:00,@CandyCrushSaga Oooo this is about to get juicy! (but we all know who will win)
STARBURST,2021-10-05 16:13:51+00:00,How'd you feel about yesterday's break from ig?
STARBURST,2021-10-05 15:01:41+00:00,"Oh, we're back? jk"
STARBURST,2021-10-04 18:45:53+00:00,Free STARBURST on Instagram rn!
STARBURST,2021-10-01 16:59:11+00:00,@jordan81946683 Hey!
STARBURST,2021-10-01 16:49:39+00:00,Weren’t able to get your hands on our STARBURST All Pink #DoYou Challenge kits? Don’t worry! You can participate at… https://t.co/pzq8T325iV
STARBURST,2021-09-30 13:24:46+00:00,Don't forget to keep an eye on the site for some more kits today! 💖 https://t.co/XY3By06FtB
STARBURST,2021-09-29 14:32:30+00:00,Why did they make naps for kids? Adults need them more. #wednesdaythought
STARBURST,2021-09-28 20:45:22+00:00,✨JUICY NEWS✨ We may be releasing some more kits over the next couple of days 👀  Make sure to keep an eye on the sit… https://t.co/qtH3Jvmvgu
STARBURST,2021-09-28 14:13:25+00:00,@sherifkardash YAAASSSS!!
STARBURST,2021-09-28 14:00:09+00:00,The STARBURST All Pink #DoYou Challenge is available now! Head to https://t.co/VQ1fiRD84P to get your hands on one while they last!
STARBURST,2021-09-27 22:02:03+00:00,⚡️💦The Juiciest collab in history has officially dropped💦⚡️​and we are #BurstingWithEnergy! Be sure to check out ou… https://t.co/kSzCssKOyv
STARBURST,2021-09-27 19:27:30+00:00,@Cwillis1987 We're sorry to hear about this. Please call us at (+18009744539) or contact us by using our website: https://t.co/XBTDCx2d5C.
STARBURST,2021-09-27 17:42:13+00:00,@zak103tv Not sure how to feel about this.
STARBURST,2021-09-27 17:41:48+00:00,@KileyQueen Not as unpopular of an opinion as you think!
