id,date,text
shonda rhimes,2021-10-05 21:00:47+00:00,RT @byshondaland: Believe it until you see it. Speak it until you see it. Anything is possible.
shonda rhimes,2021-10-05 20:44:43+00:00,"RT @OvationEventsUS: ""If you can forget about an idea for a story fairly quickly, it's not a story to be told."" #wisewords from @shondarhim…"
shonda rhimes,2021-10-04 16:11:12+00:00,The passing of Marc Pilcher is beyond words. I will forever be in awe of the incredible hairstyling and makeup work… https://t.co/sA2kK8wOpJ
shonda rhimes,2021-10-01 21:13:27+00:00,"RT @MichellCClark: new month. 
new opportunities.
new experiences .
new perspective.
new blessings."
shonda rhimes,2021-10-01 18:15:49+00:00,Look! It’s me and my Broadway Dream (aka @leslieodomjr). https://t.co/1fcsrLqzcX
shonda rhimes,2021-09-30 15:51:10+00:00,Missing these ladies! #tbt https://t.co/h31chf5h7o
shonda rhimes,2021-09-29 20:00:12+00:00,Yay (even though I would've also been excited for a mixtape)!! 😂 https://t.co/xRTHSKJGiI
shonda rhimes,2021-09-28 16:24:56+00:00,Welcome to the #ShondalandAudio family! 🎉 #Matter https://t.co/sRwryuNqn3
shonda rhimes,2021-09-28 11:31:45+00:00,"Anita Hill and Christine Blasey Ford have a lot to talk about. And now, they’re letting us listen. - The Washington… https://t.co/5Vk40o5dkA"
shonda rhimes,2021-09-27 20:18:00+00:00,RT @theebillyporter: #MotivationMonday @TheTonyAwards https://t.co/4aOObHzHit
shonda rhimes,2021-09-27 18:36:06+00:00,"A momentous occasion, indeed. #Bridgerton https://t.co/fVDJNfpC6J"
shonda rhimes,2021-09-27 15:51:35+00:00,The @TheTonyAwards made me so excited to go back to the theatre. But especially #JenniferHolliday…that woman is all the amazing things.
shonda rhimes,2021-09-26 22:04:06+00:00,"Why did I not know this is existed sooner?! You have to share the wisdom, people! Non-alcoholic cocktails that tast… https://t.co/oExIrRG9Wn"
shonda rhimes,2021-09-25 17:17:04+00:00,"This is big, people. Check it out! #Bridgerton 🐝 https://t.co/wrcpO90ncU"
shonda rhimes,2021-09-24 17:30:44+00:00,"RT @byshondaland: With so many amazing shows to choose from, we know it's hard to pick a favorite. 💅 What's your favorite episode of #GoAsk…"
shonda rhimes,2021-09-24 17:28:13+00:00,So excited to receive this from my awesome team! What’s your favorite #ShondalandAudio podcast?👇🏾👇🏾 https://t.co/d9THOGoLMF
shonda rhimes,2021-09-23 18:54:09+00:00,RT @Life_Affirming: I control my fear. It doesn't control me. #affirmation
shonda rhimes,2021-09-23 18:52:41+00:00,👀🐝 https://t.co/OR3qQjojM7
shonda rhimes,2021-09-22 19:06:31+00:00,"“My advice to women on self-love is to understand that we’re unique. Our differences make us unique. 

You have to… https://t.co/nlIeJAn0AW"
shonda rhimes,2021-09-21 16:24:46+00:00,✨Reminder✨ https://t.co/uoky2rqaCV
Shondaland Digital,2021-10-05 17:24:00+00:00,"You know that feeling you feel, but can't quite find a name for? It could be ""compassion fatigue."" Here's what it i… https://t.co/nUmV92BkMX"
Shondaland Digital,2021-10-05 15:52:44+00:00,@BLACKBOXCOMICSP 💪❤️
Shondaland Digital,2021-10-05 15:39:40+00:00,Believe it until you see it. Speak it until you see it. Anything is possible.
Shondaland Digital,2021-10-05 15:24:13+00:00,"RT @AmazonPub: .@byshondaland says THE ONE YOU WANT TO MARRY by @sesantos is “[A] hilarious, identity-affirming memoir . . . a must read fo…"
Shondaland Digital,2021-10-04 23:52:57+00:00,RT @MandelPL: Have you ever read a book that you just can't stop thinking about? Check out what books these 21 authors can't get out of the…
Shondaland Digital,2021-10-04 23:25:22+00:00,"Before you go back to your usual scrolling, grab these new reads. They'll go great with your favorite blanket and t… https://t.co/7Hcuk5cimK"
Shondaland Digital,2021-10-04 22:35:32+00:00,@Laura_Studarus You have to admit. The timing's pretty perfect. 👏
Shondaland Digital,2021-10-04 21:39:44+00:00,@Hey_Its_A_Show https://t.co/2Jdg80QxGU
Shondaland Digital,2021-10-04 21:12:48+00:00,@anabridger 🥰💕🙏
Shondaland Digital,2021-10-04 21:10:02+00:00,@anabridger There's a whole team of amazing people to thank for that. We'll be sure they see this. 😉
Shondaland Digital,2021-10-04 21:06:31+00:00,"We absolutely love checking in with our social family, but our hope for all of you is a beautiful life - both on and offline. 💕"
Shondaland Digital,2021-10-04 21:01:35+00:00,"@Hey_Its_A_Show Everyone's different but here are few things we do:
- Set time limits for how long you'll scroll.… https://t.co/YDYpHJHoJ1"
Shondaland Digital,2021-10-04 20:53:09+00:00,"👀 Today might be a good day to rethink your relationship with social media. Like @Laura_Studarus said, ""the real wo… https://t.co/aKGC6LmQc7"
Shondaland Digital,2021-10-04 20:49:53+00:00,@anabridger *hugs* https://t.co/3r6unc5Mna
Shondaland Digital,2021-10-04 20:41:21+00:00,"@anabridger Oh, we’re adding this to our repertoire, friend! Love ittt.

P.S. - it absolutely does. https://t.co/ZYTUnucjxy"
Shondaland Digital,2021-10-04 19:40:21+00:00,Thanks to Lady Whistledown we know all about good gossip. 😚 https://t.co/bjy5Cwjbch
Shondaland Digital,2021-10-04 17:39:53+00:00,"RT @yumcoconutmilk: I interviewed @megstalter for @byshondaland! We talked about her HBO show Hacks, family, and how Chicago shaped her as…"
Shondaland Digital,2021-10-04 16:12:49+00:00,His ingenuity on Bridgerton birthed iconic period designs that proved both remarkably fresh and timeless. We are fo… https://t.co/S8iC5m4zx5
Shondaland Digital,2021-10-04 16:12:48+00:00,"The Shondaland family is deeply saddened by the passing of Marc Pilcher. A true master of his craft, Marc told beau… https://t.co/7Rz1X5RWd5"
Shondaland Digital,2021-10-01 22:50:00+00:00,"What are you reading, Shondaland? https://t.co/RNNcKQXelZ"
shondaland tv,2021-10-04 16:08:44+00:00,His ingenuity on Bridgerton birthed iconic period designs that proved both remarkably fresh and timeless. We are fo… https://t.co/QqevJZiRk9
shondaland tv,2021-10-04 16:08:43+00:00,"The Shondaland family is deeply saddened by the passing of Marc Pilcher. A true master of his craft, Marc told beau… https://t.co/bghxq43691"
shondaland tv,2021-10-01 23:15:00+00:00,THIS is my #FridayFeeling 💃🏽 #Station19 https://t.co/x8dbajVqAp
shondaland tv,2021-10-01 23:04:55+00:00,ALL OF THIS!! https://t.co/CboMGzZKkP
shondaland tv,2021-10-01 23:04:24+00:00,"Last night, Betsy Beers was honored with the 2021 Trailblazer in the Arts Award!! ❤️ https://t.co/FKNpRRy4TI"
shondaland tv,2021-10-01 22:55:06+00:00,"@NoContxtBR no tricks, just treats please!"
shondaland tv,2021-10-01 22:10:58+00:00,@anabridger i'm legit so excited 🐝
shondaland tv,2021-10-01 22:10:41+00:00,@thekeating5ive NILES! This is so cool!!
shondaland tv,2021-10-01 22:09:39+00:00,@anabridger YES PLEASE 😍
shondaland tv,2021-10-01 22:02:36+00:00,"If you or your tiny humans are dressing up like a Shondaland character for Halloween, please tag us in photos!! We… https://t.co/T9tjSdMBMA"
shondaland tv,2021-10-01 16:47:07+00:00,"Words of Wisdom from a Queen 👑 HAPPY BIRTHDAY, @JulieAndrews!! We love you ❤️🎂🎉 https://t.co/WqkLOpw7qh"
shondaland tv,2021-10-01 04:49:19+00:00,"RT @__kristine_h: 3 years later and they still look at each other the same 
#GreysAnatomy https://t.co/OSGkwftlgY"
