id,date,text
Dede Watson,2021-09-01 14:01:58+00:00,@Neil_ODonnell Thank you Neil!
Dede Watson,2021-08-30 19:23:02+00:00,RT @MariaVarella111: @Dede_Watson @AmazonHelp @amazon Unfortunately they will continue to prosper and not understand how essential customer…
Dede Watson,2021-08-30 16:15:42+00:00,@AmazonHelp We expect a call not useless auto messages!!! This situation is UNACCEPTABLE from a company like yours!
Dede Watson,2021-06-23 04:24:24+00:00,@Neil_ODonnell Thank you Neil!😀
Dede Watson,2021-03-25 19:27:57+00:00,@ChelseaKrost It all starts with the foundation! So true.
Dede Watson,2021-03-25 19:23:03+00:00,@ChelseaKrost Hey Chelsea!😀
Dede Watson,2021-03-24 19:25:11+00:00,@EraldoMaglara @FOX5Vegas These look great Eraldo! Especially like the push-up exercise!
Dede Watson,2021-02-11 19:22:28+00:00,@ChelseaKrost Yay!!! Excited for this chat!😀
Dede Watson,2021-02-10 01:13:13+00:00,Still time to jump in on #MillennialTalk! #videomarketing #livestreaming
Dede Watson,2021-02-10 01:04:21+00:00,Excited for this chat tonight! Really need to up my #livestreaming game!! #MillennialTalk
Dede Watson,2020-12-17 12:44:31+00:00,@Neil_ODonnell Thank you Neil!!!
Dede Watson,2020-12-17 12:44:21+00:00,"RT @Neil_ODonnell: For those needing Branding, Development &amp; Content Strategy go w/a FORBES Top 50 Social Media Power Influencer @Dede_Wats…"
Dede Watson,2020-12-16 16:56:29+00:00,@headlinervideo Is your app down? Please check your dm!
Dede Watson,2020-11-02 18:02:52+00:00,"@ChelseaKrost Amen Chelsea!!! I have removed myself as much as I can emotionally! I voted, which was the most impor… https://t.co/g1BSp26tI2"
Dede Watson,2020-10-27 22:07:37+00:00,@SociallySteph Yes!! Glad you’re doing well! Been busy with work and moving.
Dede Watson,2020-10-27 02:06:33+00:00,@SociallySteph Hi Stephanie!! How have you been???
Dede Watson,2020-10-27 02:05:20+00:00,@Daniellaclark95 Great to connect Daniella!
Dede Watson,2020-10-27 02:05:00+00:00,@mindfulheal Thanks for your follow Kylie:)
Dede Watson,2020-10-26 13:10:06+00:00,RT @EraldoMaglara: Love starting my day with @LUMIjuice Morning Sunrise and their Gold Rush Wellness Shot! #Lumilife #fruitjuice #veggiejui…
Dede Watson,2020-10-21 00:07:41+00:00,"RT @DaveCrenshaw: @ChelseaKrost 1a. Your strengths are what make you truly and uniquely great. By knowing and focusing on your strengths, y…"
Ted Coiné,2021-10-03 13:51:15+00:00,This years MacArthur Genius fellows are truly inspiring. We’ve been listening to interviews on @NPR all week. Follo… https://t.co/Toj0Wc9raK
Ted Coiné,2021-10-03 13:27:01+00:00,RT @LillyLyle: This is *absolutely* the funniest thing I've seen this year 😂
Ted Coiné,2021-10-02 22:01:07+00:00,Patriotic wimps beat dumb evil guys by a landslide! https://t.co/tGJdyjEqAx
Ted Coiné,2021-10-01 20:16:03+00:00,"“That’s not true” courteous, insistent fact-checking smack down is why we support @NPR as sustaining members. Kudos @LeilaFadel !!!"
Ted Coiné,2021-10-01 19:40:13+00:00,@st3v0r Nice.
Ted Coiné,2021-09-28 21:18:19+00:00,"Just announced today by @macfound, the 2021 MacArthur Fellows (#MacFellow). Check out how they are demonstrating th… https://t.co/CZHgtdWQGd"
Ted Coiné,2021-09-28 20:24:43+00:00,Wait - who is that 20%??? https://t.co/tGJdyjmPbX
Ted Coiné,2021-09-28 20:23:06+00:00,"@ShotOutShawty LOL. If you vote 3rd party or don’t vote at all, you’re voting for whoever wins. I can’t take that chance with my vote."
Ted Coiné,2021-09-28 20:15:13+00:00,"As we emerge from the shadows of the past two years, a moment to celebrate. Check out the 2021 @macfound Fellows (… https://t.co/rItm4gkSqF"
Ted Coiné,2021-09-28 00:22:23+00:00,"Bummer that the patriotic ones are wimps, tho."
Ted Coiné,2021-09-28 00:20:23+00:00,@Ninainnac These squirrels think they’re kangaroos.
Ted Coiné,2021-09-28 00:15:56+00:00,@st3v0r There’s always the vaccine. That’s what my family and I chose. Very grateful we did.
Ted Coiné,2021-09-28 00:13:00+00:00,@GrantEpstein As we have seen.
Ted Coiné,2021-09-28 00:11:56+00:00,RT @Ninainnac: My foster squirrels like to be with me. https://t.co/lOHxthDyMZ
Ted Coiné,2021-09-28 00:10:16+00:00,"RT @billifer1973: Masks make my face breakout, so you know what I’m going to do about it? I’m going to keep wearing my fucking mask, that’s…"
Ted Coiné,2021-09-27 23:31:32+00:00,"If you had to vote today, who would you choose?"
Ted Coiné,2021-09-27 23:24:54+00:00,So… anybody have odds on whether the #filibuster lasts the week?
Ted Coiné,2021-09-27 23:22:03+00:00,@carlrossdiaries May be a very long time. That’s why I’d recommend folks get the shot.
Ted Coiné,2021-09-27 23:20:25+00:00,@st3v0r Much of the pandemic is spread by asymptomatic carriers.
Ted Coiné,2021-09-27 20:19:34+00:00,"Don’t get vaccinated. That’s totally okay! Just please, be a grownup about it and stay home till the pandemic ends."
Deborah Lee 💙,2021-10-04 18:15:16+00:00,"RT @campbellclaret: This is distressing, and important. And his point ‘you’ve had ten years’ is really powerful."
Deborah Lee 💙,2021-10-04 17:45:52+00:00,@poisonousdarce It’s an annual battle of physical and mental fortitude in this house. Whoever breaks and says they’… https://t.co/21gvv4dCwR
Deborah Lee 💙,2021-10-04 17:29:34+00:00,@poisonousdarce https://t.co/vFd2IEiNXq
