id,date,text
The Travel Magazine,2021-10-04 10:10:59+00:00,No more amber list from today https://t.co/z5N3Q6XWxW
The Travel Magazine,2021-10-04 01:00:00+00:00,"✨With around 300 days of glorious #sunshine, a spectacular blend of traditional &amp; avant-garde architecture, plus fa… https://t.co/qEf5V27SO3"
The Travel Magazine,2021-10-03 17:00:00+00:00,"✨Ravenna, located in-between San Marino &amp; Bologna in the northern Italian province of Emilia Romagna is a diverse r… https://t.co/JVPqv7803T"
The Travel Magazine,2021-10-03 01:00:00+00:00,"✨Edinburgh: Tourists duck &amp; dive under towering bridges, they tumble down treacherously steep steps and feel the wi… https://t.co/S9Cxrf9lzN"
The Travel Magazine,2021-10-02 17:00:00+00:00,✨Mallorca’s laid-back groove and plentiful sea views have long made this a popular travel spot for the summer… https://t.co/1gzzkcFvvu
The Travel Magazine,2021-10-02 08:56:00+00:00,"TRAVEL NEWS: ID cards are no longer accepted to enter the UK. Millions of EU citizens will be affected.

https://t.co/3JdyRVhAJG"
The Travel Magazine,2021-10-01 16:33:40+00:00,"TRAVEL ALERT: Turkey removes PCR test requirement for double vaccinated UK travellers 

Read more: https://t.co/OKuShCyoaA"
The Travel Magazine,2021-10-01 12:00:01+00:00,"✨Top 10 things to see and do in North Macedonia.

Read more👉https://t.co/oDqhyL8Ye0

#travel #Tours #Tourism… https://t.co/T3sdxiYkgX"
The Travel Magazine,2021-10-01 09:25:14+00:00,@indiacasenove Lol no you haven’t it was awarded that two years ago. Our Twitter manager should have said it differ… https://t.co/39XUwsRgnN
The Travel Magazine,2021-10-01 09:00:00+00:00,"✨Last Minute deals for October and November‼️

🔥#Matera has been awarded European Capital of Culture for 2019 &amp; is… https://t.co/ICoA6Bhq2D"
The Travel Magazine,2021-09-30 15:00:01+00:00,"✨Part of the charm of #Puglia is its slow approach to everyday life.
🔥Southern #Italy’s rising star has ancient far… https://t.co/qDN4E4wjQX"
The Travel Magazine,2021-09-30 13:36:24+00:00,"✨Deal of the Day – ST LUCIA –  Save 45% on accommodation.

Check out the site👉https://t.co/ihmRarBmdG

#travel… https://t.co/A9OpT2a11F"
The Travel Magazine,2021-09-29 16:31:48+00:00,TRAVEL ALERT: The Foreign Office has lifted its advice against all but essential travel to the popular winter sun d… https://t.co/bUmmd9rfP3
The Travel Magazine,2021-09-29 15:00:00+00:00,"✨Located on Europe’s west coast by the Atlantic Ocean and with the River Tagus as a backdrop, #Lisbon is the ideal… https://t.co/QyEcjslHrf"
The Travel Magazine,2021-09-29 12:44:58+00:00,"We just had a delightful lunch at Vinolo in #Weymouth. 

Wine, cheese and sunshine...what more could you ask for? 🍷… https://t.co/Bka1yKjov4"
The Travel Magazine,2021-09-29 11:46:01+00:00,"✨#Rotterdam is #Netherlands’ home to the world’s first floating farm with 40 cows, a farmer and robots collecting m… https://t.co/NBEBGx1hgy"
The Travel Magazine,2021-09-28 16:16:32+00:00,"HOTEL REVIEW: The Langham, Chicago, USA

https://t.co/fauDCuKsRu"
The Travel Magazine,2021-09-28 13:00:00+00:00,"✨The #Opal Coast stretches west from Calais along the #English Channel, and gets its name from the interplay of gre… https://t.co/H2l9U5IxOe"
The Travel Magazine,2021-09-28 11:03:33+00:00,"✨Most visitors adore #Croatia for its picturesque pebbled #beaches, but outside the city limits is where you will t… https://t.co/1lxVvayhdO"
The Travel Magazine,2021-09-28 11:00:01+00:00,"TIP: Petrol shortages at the pumps and massive queues, check out our 5 top tips to save on fuel

https://t.co/4ntRtSasGi"
The Travel Magazine,2021-09-27 15:38:28+00:00,"✨Top 10 things to see and do in Bristol #UK🔥
#Bristol has it all: vibrant street art, historic architecture, a buzz… https://t.co/0yBOy1EXOC"
The Travel Magazine,2021-09-27 11:58:18+00:00,"✨Sustainable #travel in northern #Germany:
Hamburg is one of Germany’s most exciting cities 
🚀It is also famous for… https://t.co/QnUvjNBDaj"
The Travel Magazine,2021-09-26 17:00:00+00:00,"✨Take a ferry from #Dover to #Calais and visit pretty towns in Northern #France.
🤩Calais: The port has a vast sandy… https://t.co/hx50fTociZ"
The Travel Magazine,2021-09-26 10:13:27+00:00,"This little bronze sculpture just 60cm is indeed called Manneken-Pis – ‘Pissing Boy’ aka Petit Julien,

Find out mo… https://t.co/JXVvuhaHrd"
The Travel Magazine,2021-09-26 10:11:14+00:00,@AntoineGunst Just so awful
The Travel Magazine,2021-09-25 21:20:04+00:00,https://t.co/oOpwu7lPfS
The Travel Magazine,2021-09-25 19:40:59+00:00,ART:  Mr Brainwash the increasingly famous graffiti artist showing at Clarendon Art Gallery in Covent Garden. Unusu… https://t.co/ZPYSmZHE5D
The Travel Magazine,2021-09-25 17:17:21+00:00,TRAVEL ALERT:  Flights to and from the Spanish Island of La Palma in the Canary Islands have been cancelled due to… https://t.co/fUTu7hAV6K
The Travel Magazine,2021-09-24 14:33:51+00:00,"Check out #SriLanka  

https://t.co/sG4E4mNIpC"
The Travel Magazine,2021-09-24 13:43:58+00:00,"TRAVEL ALERT: Heathrow, Manchester and Edinburgh airports all reported IT issues with self-service passport gates o… https://t.co/B0VMMtCXQP"
Spencer Spellman,2020-01-07 21:12:57+00:00,Such a fun podcast by @VisitCA featuring my new neighborhood and so many great @InsideSonoma recommendations!… https://t.co/4TzAXhwh5H
Spencer Spellman,2020-01-07 21:11:13+00:00,@mattvillano @kentphotos @NorthBayNews Awesome!
Spencer Spellman,2020-01-07 21:11:00+00:00,"@KirstenAlana @AngieAway @VisitNapaValley @InsideSonoma Yikes, missed these after being away a little. Hope you had a good trip Angie!"
Spencer Spellman,2019-11-19 16:32:22+00:00,Important read about my new home of Sonoma County by @mattvillano in @AFARmedia: Come visit!… https://t.co/tA8gaaNKTZ
Spencer Spellman,2019-11-05 16:04:34+00:00,"RT @TripIt: Flying to, through, or from Cincinnati/Northern Kentucky International Airport? Navigate @CVGairport with ease with our complet…"
Spencer Spellman,2019-10-03 04:33:22+00:00,"RT @TripIt: Flying to, through, or from Phoenix Sky Harbor International Airport? Our @PHXSkyHarbor guide will help you navigate like a pro…"
Spencer Spellman,2019-10-03 04:33:15+00:00,@mattvillano This is awesome!
Spencer Spellman,2019-09-26 02:22:34+00:00,"Incredibly important read following @IPCC_CH's special report on #climatechange: ""The Oceans We Know Won’t Survive… https://t.co/3zGVmVHzjS"
Spencer Spellman,2019-09-19 02:00:26+00:00,"With unplugging being so central to my life the last few years, I love this on @outsidemagazine feat. @katieboue on… https://t.co/r9jlN07Pjd"
Spencer Spellman,2019-09-19 01:57:33+00:00,"@joanna_haugen LOVE this. This idea of leaning into the discomfort has been huge for me in the last year.

Also, lo… https://t.co/LcU1QncyJz"
Spencer Spellman,2019-09-13 02:55:35+00:00,@MiddleSeatView Love this.
