,isComment,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids,repliesTo
1447942310080225282,False,1447942310080225282,Good News for sharks and rays! Lawmakers in Bangladesh take a huge leap in protecting threatened species.… https://t.co/7NgpT2w0xv,2021-10-12 15:08:42+00:00,TheEllenFund,True,2,14,{'number of replies found': 0},[],
1446496604261916706,False,1446496604261916706,"Raabia Hawa is a woman on a mission. She founded the Ulinzi Africa Foundation, raising awareness of the challenges… https://t.co/5DU5NLfQdD",2021-10-08 15:23:59+00:00,TheEllenFund,True,7,34,{'number of replies found': 0},[],
1446134228396036098,False,1446134228396036098,"What's greener than a green roof?! Green roofs have all kinds of benefits for a building, including purifying the a… https://t.co/7FcJrqZFJg",2021-10-07 15:24:02+00:00,TheEllenFund,True,11,54,"{'1446217733369053200': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1446134228396036098', 'text': '@TheEllenFund @MASSDesignLab @SavingGorillas This is wonderful! I’m loving watching this building literally ‘grow.’… https://t.co/n5wsWF2K5U', 'date': '2021-10-07 20:55:51+00:00', 'username': 'GSWnature', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446178322317201411': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1446134228396036098', 'text': '@TheEllenFund @MASSDesignLab @SavingGorillas Shrek https://t.co/JJYPs9n42O', 'date': '2021-10-07 18:19:15+00:00', 'username': 'BrianFromLegal', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446145614165671936': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1446134228396036098', 'text': '@TheEllenFund @MASSDesignLab @SavingGorillas @TheEllenFund please help', 'date': '2021-10-07 16:09:17+00:00', 'username': 'i_wannastudy', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1446140591016853510': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1446134228396036098', 'text': '@TheEllenFund @MASSDesignLab @SavingGorillas It’s beautiful', 'date': '2021-10-07 15:49:19+00:00', 'username': 'mikedez57', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 4}","['1446217733369053200', '1446178322317201411', '1446145614165671936', '1446140591016853510']",
1445765452500594691,False,1445765452500594691,It's literally gorillas in the mist ... wait for it! #gorillamoment #conservation #silverback #gorilla… https://t.co/KXNJXu2e0L,2021-10-06 14:58:39+00:00,TheEllenFund,True,9,59,"{'1445862694276370435': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1445765452500594691', 'text': '@TheEllenFund LOVE THAT SOUND 😍😍😍', 'date': '2021-10-06 21:25:03+00:00', 'username': 'eri_napoli', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1445766063363432448': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1445765452500594691', 'text': '@TheEllenFund So beautiful', 'date': '2021-10-06 15:01:05+00:00', 'username': 'christyann20', 'retweeted_status': False, 'retweet_count': 0, 'likes': 1}, 'number of replies found': 2}","['1445862694276370435', '1445766063363432448']",
1445456656347791362,False,1445456656347791362,"Great news from the Pacific Northwest! Because of the incredible efforts of the Yurok Tribe, condors are returning… https://t.co/7Q3onTQdVM",2021-10-05 18:31:36+00:00,TheEllenFund,True,8,36,"{'1445935632732209154': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1445456656347791362', 'text': '@TheEllenFund @TheYurokTribe Very encouraging news!', 'date': '2021-10-07 02:14:53+00:00', 'username': 'emerald_gnesh', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1445484121434693643': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1445456656347791362', 'text': '@TheEllenFund @TheYurokTribe Hello @TheEllenShow I am writing down this to you because I need some financial help.… https://t.co/YgL3FVNSBP', 'date': '2021-10-05 20:20:45+00:00', 'username': 'i_wannastudy', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 2}","['1445935632732209154', '1445484121434693643']",
1444028745266786305,False,1444028745266786305,"We are excited introduce Marie Fidele Tuyisenge, a research assistant at @savinggorillas, who is working to create… https://t.co/XY3syCxpZB",2021-10-01 19:57:36+00:00,TheEllenFund,True,10,60,{'number of replies found': 0},[],
1443643017013907469,False,1443643017013907469,"A giraffe's neck is too short to reach the ground. As a result, it has to awkwardly spread its front legs or kneel… https://t.co/Zc3Ouu2583",2021-09-30 18:24:51+00:00,TheEllenFund,True,10,59,{'number of replies found': 0},[],
1443294830864453632,False,1443294830864453632,New baby alert! ❤️🦍🎉 🎥:@savinggorillas #conservation #weneedgorillas #gorilla #newbaby https://t.co/mKd1IBqGR8,2021-09-29 19:21:17+00:00,TheEllenFund,True,25,151,"{'1447787137793806340': {'isComment': True, 'repliesTo': 'theellenfund', 'tweet_id': '1443294830864453632', 'text': '@TheEllenFund @SavingGorillas Absolutely precious! The way she protects him is true mama’s love 💗🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰', 'date': '2021-10-12 04:52:06+00:00', 'username': 'GirlCodetoMS', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 1}",['1447787137793806340'],
1442946663081934849,False,1442946663081934849,"Good News for blue whales: after years of near extinction, we are seeing the results of a 40 year whaling ban in Sp… https://t.co/ebumgRSwgt",2021-09-28 20:17:47+00:00,TheEllenFund,True,8,58,{'number of replies found': 0},[],
1441522581186641924,False,1441522581186641924,Have you met the CEO of the Dian Fossey Gorilla Fund? You should! @savinggorillas #featurefriday #conservation… https://t.co/1lSbSiT4qR,2021-09-24 21:59:00+00:00,TheEllenFund,True,9,37,{'number of replies found': 0},[],
1446217733369053200,True,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas This is wonderful! I’m loving watching this building literally ‘grow.’… https://t.co/n5wsWF2K5U,2021-10-07 20:55:51+00:00,GSWnature,False,0,0,,,theellenfund
1446178322317201411,True,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas Shrek https://t.co/JJYPs9n42O,2021-10-07 18:19:15+00:00,BrianFromLegal,False,0,0,,,theellenfund
1446145614165671936,True,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas @TheEllenFund please help,2021-10-07 16:09:17+00:00,i_wannastudy,False,0,0,,,theellenfund
1446140591016853510,True,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas It’s beautiful,2021-10-07 15:49:19+00:00,mikedez57,False,0,0,,,theellenfund
1445862694276370435,True,1445765452500594691,@TheEllenFund LOVE THAT SOUND 😍😍😍,2021-10-06 21:25:03+00:00,eri_napoli,False,0,0,,,theellenfund
1445766063363432448,True,1445765452500594691,@TheEllenFund So beautiful,2021-10-06 15:01:05+00:00,christyann20,False,0,1,,,theellenfund
1445935632732209154,True,1445456656347791362,@TheEllenFund @TheYurokTribe Very encouraging news!,2021-10-07 02:14:53+00:00,emerald_gnesh,False,0,0,,,theellenfund
1445484121434693643,True,1445456656347791362,@TheEllenFund @TheYurokTribe Hello @TheEllenShow I am writing down this to you because I need some financial help.… https://t.co/YgL3FVNSBP,2021-10-05 20:20:45+00:00,i_wannastudy,False,0,0,,,theellenfund
1447787137793806340,True,1443294830864453632,@TheEllenFund @SavingGorillas Absolutely precious! The way she protects him is true mama’s love 💗🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,2021-10-12 04:52:06+00:00,GirlCodetoMS,False,0,0,,,theellenfund
