,isComment,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids,repliesTo
1447579039514890249,False,1447579039514890249,#MondayMotivation #QuoteOfTheDay https://t.co/iyWTGF6MX1,2021-10-11 15:05:12+00:00,RobReffkin,True,2,7,{'number of replies found': 0},[],
1446498361163530243,False,1446498361163530243,"Excited to share how Compass Westchester Agent, Francie Malina, has used the Compass platform to save time, win mor… https://t.co/J2TJCLX7X1",2021-10-08 15:30:58+00:00,RobReffkin,False,0,12,{'number of replies found': 0},[],
1445861490339328001,False,1445861490339328001,"Thank you to Laura, Farah, Jacquelynn, Nanette, Janis, Gloria, and Diane for participating in this beautiful campai… https://t.co/d8bH6W4u2J",2021-10-06 21:20:16+00:00,RobReffkin,False,0,3,{'number of replies found': 0},[],
1445861481107517441,False,1445861481107517441,"This Breast Cancer Awareness Month the @Compass community is raising awareness by uplifting the voices of fighters,… https://t.co/jMHwXaTFYB",2021-10-06 21:20:14+00:00,RobReffkin,False,0,10,{'number of replies found': 0},[],
1445514615052406789,False,1445514615052406789,I shared some of these photos of Compass memories throughout the years during the meeting and since I’m still feeli… https://t.co/ZDOjQMUk9q,2021-10-05 22:21:55+00:00,RobReffkin,False,0,9,{'number of replies found': 0},[],
1445514594760286213,False,1445514594760286213,Earlier today our Compass employee team gathered for a special “All Employee Team Meeting” to celebrate 9 years of… https://t.co/W8htwjhYeE,2021-10-05 22:21:50+00:00,RobReffkin,True,4,23,"{'1445862103768649735': {'isComment': True, 'repliesTo': 'RobReffkin', 'tweet_id': '1445514594760286213', 'text': '@RobReffkin nothing to celebrate; your stock is in the shitter $COMP', 'date': '2021-10-06 21:22:43+00:00', 'username': 'stockthathops', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, '1445568778360655875': {'isComment': True, 'repliesTo': 'RobReffkin', 'tweet_id': '1445514594760286213', 'text': '@RobReffkin You all did an awesome job today. The format was engaging and the stories were very entertaining. Congr… https://t.co/qevCBvX1me', 'date': '2021-10-06 01:57:08+00:00', 'username': 'alexstanton17', 'retweeted_status': False, 'retweet_count': 0, 'likes': 0}, 'number of replies found': 2}","['1445862103768649735', '1445568778360655875']",
1440689122830553096,False,1440689122830553096,J Rene works hard to help agents grow their business and spends additional time making an impact as a part of our W… https://t.co/TwaDooxrtr,2021-09-22 14:47:08+00:00,RobReffkin,False,0,4,{'number of replies found': 0},[],
1440689121098285066,False,1440689121098285066,J Rene has more than 20 years of experience in both the real estate and technology industries and since joining Com… https://t.co/9kspU9m3A0,2021-09-22 14:47:07+00:00,RobReffkin,False,0,4,{'number of replies found': 0},[],
1440689118820724746,False,1440689118820724746,"I am pleased to highlight J Rene Walker, Broker of Record in our Greater Austin region. https://t.co/hFAwqPC63V",2021-09-22 14:47:07+00:00,RobReffkin,False,0,8,{'number of replies found': 0},[],
1440387247929368577,False,1440387247929368577,"This event was filled with agent panels, home tours, live music events, interactive networking activities and more.… https://t.co/iRVBzAajZg",2021-09-21 18:47:35+00:00,RobReffkin,False,0,3,{'number of replies found': 0},[],
1440387229445099520,False,1440387229445099520,Last week I received these photos from our Jazz Aspen Luxury Retreat where some Compass agents across the country s… https://t.co/tgNmG1c23J,2021-09-21 18:47:31+00:00,RobReffkin,False,0,10,{'number of replies found': 0},[],
1439958212426489860,False,1439958212426489860,#MondayMotivation #QuoteOfTheDay https://t.co/IA1VFWstES,2021-09-20 14:22:45+00:00,RobReffkin,True,1,14,{'number of replies found': 0},[],
1438870172824133633,False,1438870172824133633,"Thank you to Micaela, Juan, Reina, Fernando, Becca, Jose, Cecilia, Christopher and Brenda for sharing your beautifu… https://t.co/7vGpsIbblV",2021-09-17 14:19:16+00:00,RobReffkin,True,1,2,{'number of replies found': 0},[],
1438870166528483331,False,1438870166528483331,I am proud to celebrate and recognize the amazing Latinx members of our Compass community who help make Compass so… https://t.co/UifIn6ewNr,2021-09-17 14:19:15+00:00,RobReffkin,True,1,3,{'number of replies found': 0},[],
1438870160161615874,False,1438870160161615874,Happy Latinx Heritage Month! This month we celebrate the contributions the Latinx community has made to the history… https://t.co/iy2caNEXzX,2021-09-17 14:19:13+00:00,RobReffkin,True,2,9,{'number of replies found': 0},[],
1438241180018479107,False,1438241180018479107,Have a meaningful Yom Kippur and Gmar Chatima Tovah! https://t.co/xLN7ht8v4W,2021-09-15 20:39:53+00:00,RobReffkin,True,1,17,{'number of replies found': 0},[],
1437900970852298767,False,1437900970852298767,I hope listeners enjoy what I shared and why it’s so important to bounce back with passion! Click the link below to… https://t.co/4x9S5z18K0,2021-09-14 22:08:01+00:00,RobReffkin,True,2,15,{'number of replies found': 0},[],
1437900969673625604,False,1437900969673625604,"Thank you @ReidHoffman, for giving me the opportunity to speak with you on your fun &amp; insightful podcast,… https://t.co/w1TBmweACu",2021-09-14 22:08:00+00:00,RobReffkin,True,2,15,{'number of replies found': 0},[],
1437792090696687616,False,1437792090696687616,"Thank you, Kevin, for embodying the positive and inclusive Compass culture we strive to achieve. I am grateful for… https://t.co/w6O9YR9eOT",2021-09-14 14:55:21+00:00,RobReffkin,False,0,3,{'number of replies found': 0},[],
1437792089190850567,False,1437792089190850567,"When you think of Kevin, you immediately think of our Compass Entrepreneurship Principle #CollaborateWithoutEgo. Ke… https://t.co/j3lfxvkZs6",2021-09-14 14:55:21+00:00,RobReffkin,False,0,4,{'number of replies found': 0},[],
1437792087282421760,False,1437792087282421760,"I am pleased to highlight Kevin Patsel, Managing Director in our San Francisco Bay Area region. Kevin started at Co… https://t.co/RxakqqDwif",2021-09-14 14:55:21+00:00,RobReffkin,False,0,9,{'number of replies found': 0},[],
1437423644582498309,False,1437423644582498309,#MondayMotivation #QuoteOfTheDay https://t.co/h41i0BjwRg,2021-09-13 14:31:17+00:00,RobReffkin,True,6,8,{'number of replies found': 0},[],
1436661454787186691,False,1436661454787186691,"This city is where I have raised my family, where I met my wife, where I realized my dreams and chased them — a pla… https://t.co/e6vVqkSuTG",2021-09-11 12:02:37+00:00,RobReffkin,False,0,6,{'number of replies found': 0},[],
1436661453302403076,False,1436661453302403076,20 years ago today the unthinkable happened in New York City and our entire nation paused. As I reflect on what thi… https://t.co/WOfHtUrmiY,2021-09-11 12:02:37+00:00,RobReffkin,True,3,16,{'number of replies found': 0},[],
1436373397752238120,False,1436373397752238120,It’s great to see how this team gathered together on behalf of this beautiful initiative to give back to those impa… https://t.co/NfyMSvziPI,2021-09-10 16:57:59+00:00,RobReffkin,False,0,1,{'number of replies found': 0},[],
