,isComment,repliesTo,tweet_id,text,date,username,retweeted_status,retweet_count,likes
1446217733369053200,True,theellenfund,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas This is wonderful! I’m loving watching this building literally ‘grow.’… https://t.co/n5wsWF2K5U,2021-10-07 20:55:51+00:00,GSWnature,False,0,0
1446178322317201411,True,theellenfund,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas Shrek https://t.co/JJYPs9n42O,2021-10-07 18:19:15+00:00,BrianFromLegal,False,0,0
1446145614165671936,True,theellenfund,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas @TheEllenFund please help,2021-10-07 16:09:17+00:00,i_wannastudy,False,0,0
1446140591016853510,True,theellenfund,1446134228396036098,@TheEllenFund @MASSDesignLab @SavingGorillas It’s beautiful,2021-10-07 15:49:19+00:00,mikedez57,False,0,0
1445862694276370435,True,theellenfund,1445765452500594691,@TheEllenFund LOVE THAT SOUND 😍😍😍,2021-10-06 21:25:03+00:00,eri_napoli,False,0,0
1445766063363432448,True,theellenfund,1445765452500594691,@TheEllenFund So beautiful,2021-10-06 15:01:05+00:00,christyann20,False,0,1
1445935632732209154,True,theellenfund,1445456656347791362,@TheEllenFund @TheYurokTribe Very encouraging news!,2021-10-07 02:14:53+00:00,emerald_gnesh,False,0,0
1445484121434693643,True,theellenfund,1445456656347791362,@TheEllenFund @TheYurokTribe Hello @TheEllenShow I am writing down this to you because I need some financial help.… https://t.co/YgL3FVNSBP,2021-10-05 20:20:45+00:00,i_wannastudy,False,0,0
1447787137793806340,True,theellenfund,1443294830864453632,@TheEllenFund @SavingGorillas Absolutely precious! The way she protects him is true mama’s love 💗🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,2021-10-12 04:52:06+00:00,GirlCodetoMS,False,0,0
1446861776650395659,True,hughhefner,1446852286035251200,@hughhefner @crystalhefner hi,2021-10-09 15:35:03+00:00,DARKROOM4A2009,False,0,0
1446857112546590726,True,hughhefner,1446852286035251200,@hughhefner @crystalhefner Cute couple 💪🏻👍🏻,2021-10-09 15:16:31+00:00,Dickrosenzweig1,False,0,1
1446856531400482823,True,hughhefner,1446852286035251200,@hughhefner Your dad gave chances. Hugh gave black men a chance to mingle with white women like the one standing wi… https://t.co/mPf2mW8sQ1,2021-10-09 15:14:13+00:00,chrisorchard101,False,0,0
1446852968045846534,True,hughhefner,1446852286035251200,@hughhefner @crystalhefner Miss that guy. He understood his customers.,2021-10-09 15:00:03+00:00,Crypto_Trucking,False,0,1
1446852651249983489,True,hughhefner,1446852286035251200,@hughhefner @crystalhefner ❤️,2021-10-09 14:58:47+00:00,fmdiscr,False,0,0
1447985007860097030,True,donttrythis,1447976012772360193,@donttrythis @FonHDavis More of this!!!,2021-10-12 17:58:22+00:00,dittycommittee,False,0,0
1447983555448082437,True,donttrythis,1447976012772360193,@donttrythis @FonHDavis Beautiful vid and tribute to @grantimahara. Thank you.,2021-10-12 17:52:36+00:00,LawrenceEmlyn,False,0,0
1447982777899503616,True,donttrythis,1447976012772360193,"@donttrythis @FonHDavis Yep, I was the one that dropped out first...very impressed that the rest of you stuck it out!",2021-10-12 17:49:31+00:00,dnastudiosllc,False,0,0
1447942812830351360,True,donttrythis,1447673058198654976,@donttrythis @orbitbooks @ExpanseOnPrime @airandspace This fantastic. This guy has a great job and I’m glad he’s doing it.,2021-10-12 15:10:42+00:00,AthasianRunner,False,0,0
