,isComment,repliesTo,tweet_id,text,date,username,retweeted_status,retweet_count,likes
1447668527398146048,True,martinvars,1447589048378433539,@martinvars Tampoco.,2021-10-11 21:00:47+00:00,TancrediLeo,False,0,0
1447666045838315525,True,martinvars,1447589048378433539,@martinvars Creo que los mexicanos deberían centrarse en sus problemas del AHORA y no dejarse desviarlo su atención por debates estériles..,2021-10-11 20:50:56+00:00,TocaNas,False,0,0
1447632120600530949,True,martinvars,1447589048378433539,@martinvars Para que pedir disculpas? Si volviese a ocurrir haríamos lo mismo.,2021-10-11 18:36:07+00:00,ricard0miranda,False,0,0
1447622028811509762,True,martinvars,1447589048378433539,"@martinvars Que buen punto Martin. Toda la razón, dentro de esta sinrazón.",2021-10-11 17:56:01+00:00,ParsimoniaC,False,0,0
1447613853827751938,True,martinvars,1447589048378433539,@martinvars .Los que viven en Mexico no son descendientes de los conquistadores. Son una mezcla multirracial mestiz… https://t.co/S93a7sjcnn,2021-10-11 17:23:32+00:00,1cafelitoalas11,False,0,2
1447605597721939972,True,martinvars,1447589048378433539,@martinvars Que pavada todo esto. Me imagino a Mongolia y Macedonia pidiendole disculpas a medio mundo.,2021-10-11 16:50:44+00:00,AmadorArgentino,False,0,2
1447669151330414593,True,martinvars,1447125891432259590,@martinvars It seems to me that as long as you’re sitting a few inches away from the asphalt and hands on the wheel… https://t.co/hbrbPYxVJY,2021-10-11 21:03:16+00:00,rsagredog,False,0,0
1447623554607075335,True,martinvars,1447125891432259590,@martinvars Lets Talk in 2027 again - u compare total different things. I think Tesla will soon Face Hard times when it Comes to EVs,2021-10-11 18:02:05+00:00,Reddevil12121,False,0,0
1447486662309732354,True,martinvars,1447125891432259590,"@martinvars Gran portada.. tenían 1billion. El iPhone fue un tremendo disruptor. El Tesla es un sexy eléctrico, si… https://t.co/C6A6M4aRw2",2021-10-11 08:58:07+00:00,joseurrutia,False,0,0
1447435586780942339,True,martinvars,1447125891432259590,@martinvars Totally!,2021-10-11 05:35:10+00:00,nbrusson,False,0,0
1447424733910339587,True,martinvars,1447125891432259590,@martinvars Sure it will,2021-10-11 04:52:03+00:00,billionaire_ca,False,0,0
1447355280598003713,True,martinvars,1447125891432259590,@martinvars Tesla is Nokia in this story mate....,2021-10-11 00:16:04+00:00,daniel_toloko,False,0,0
1447344479984250881,True,martinvars,1447125891432259590,@martinvars @RemindMe_OfThis 4 years,2021-10-10 23:33:09+00:00,Toyotalover,False,0,0
1447325107161116681,True,martinvars,1447125891432259590,@martinvars This is a horrendously bad take from someone I’ve recently come to have some respect for despite his origins as a charlatan.,2021-10-10 22:16:10+00:00,patrickkenney71,False,0,0
1447313230926340102,True,martinvars,1447125891432259590,@martinvars Not a great comparison. Nokia had total smartphone domination back then. Tesla today sells nothing comp… https://t.co/lPEmzEhfOQ,2021-10-10 21:28:58+00:00,EGMontesano,False,0,0
1447297159116693505,True,martinvars,1447125891432259590,@martinvars False comparison. Apple produced a unique product which is in a market that is a duopoly - Android and… https://t.co/3mYjfLypLU,2021-10-10 20:25:06+00:00,jamesflames55,False,0,3
1447293174884573186,True,martinvars,1447125891432259590,"@martinvars Not sure this will happen, hydrogen, EV infrastrucure and the incumbents are not sleeping either...",2021-10-10 20:09:16+00:00,dvicentet,False,0,0
1447288129551994884,True,martinvars,1447125891432259590,"@martinvars What makes you think they are not investing? 🤔

https://t.co/0sjled3Emy",2021-10-10 19:49:14+00:00,barraganc,False,0,0
1447280295300976648,True,martinvars,1447125891432259590,"@martinvars And remember, iphone marketshare is only around 17%",2021-10-10 19:18:06+00:00,paulsFex,False,0,0
1447265588514983936,True,martinvars,1447125891432259590,"@martinvars Indeed. Tesla will also eat utility companies and, likely, some energy companies too.",2021-10-10 18:19:39+00:00,AleResnik,False,0,1
1447265268439257088,True,martinvars,1447125891432259590,"@martinvars Why does $TSLA keep slashing R&amp;D?
What new cars do they have in the pipeline?",2021-10-10 18:18:23+00:00,StockJoke,False,0,3
1447260735189528577,True,martinvars,1447125891432259590,"@martinvars This is funny because in this scenario, tesla is Nokia, they're legacy EV.

Other manufacturers have ea… https://t.co/PmAhHNUf6I",2021-10-10 18:00:22+00:00,Dooderoo,False,0,0
1447251400090652676,True,martinvars,1447125891432259590,"@martinvars Wouldn't say ""destroy"". They still are a leading player in telecommunications",2021-10-10 17:23:17+00:00,arielus_tdf,False,0,0
1447247401878790145,True,martinvars,1447125891432259590,"@martinvars I think that Tesla does not have a competitive advantage as Apple had. However ,  those car manufacture… https://t.co/RMp7ogqlc6",2021-10-10 17:07:23+00:00,Magno_en_Madrid,False,0,0
1447211070322524162,True,armano,1447193798132568065,@armano Not surprised with political environment toward police in big metros,2021-10-10 14:43:01+00:00,LVGully,False,0,0
1446880634832670728,True,webby2001,1446872630750023681,@webby2001 Thanks Tom! I’m learning a lot from you too. https://t.co/bJZIjgXU1Z,2021-10-09 16:49:59+00:00,meonlylouder,False,0,2
1446287539904655363,True,webby2001,1446157539389882370,@webby2001 WOW.,2021-10-08 01:33:14+00:00,foodphilosophy,False,0,0
