,isComment,tweet_id,text,date,username,retweeted_status,retweet_count,likes,comments,comments_ids
1446512991701196807,False,1446512991701196807,"@Cortez96J Hoping 🙏it heads up from here, but from what I read there’s no way possible to burn enough coins to reach 0.01.",2021-10-08 16:29:06+00:00,Dede_Watson,False,0,1,{'number of replies found': 0},[]
1446070510547259397,False,1446070510547259397,@shibaa_token #shibarmy,2021-10-07 11:10:51+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1446070414065741824,False,1446070414065741824,"RT @shibaa_token: We're giving away 100,000,000 $Shib to 5 random people (20,000,000 each)💰

🚀Follow Me!
💎Retweet and Like.
👐Comment #SHIBA…",2021-10-07 11:10:28+00:00,Dede_Watson,True,13209,0,{'number of replies found': 0},[]
1445901146447486982,False,1445901146447486982,@Neil_ODonnell Thank you Neil!,2021-10-06 23:57:51+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1445901079598620674,False,1445901079598620674,@Shibtoken @etherscan Amazing!!🥳,2021-10-06 23:57:35+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1433067611512840192,False,1433067611512840192,@Neil_ODonnell Thank you Neil!,2021-09-01 14:01:58+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1432376492210761734,False,1432376492210761734,@AmazonHelp We expect a call not useless auto messages!!! This situation is UNACCEPTABLE from a company like yours!,2021-08-30 16:15:42+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1407555111329665024,False,1407555111329665024,@Neil_ODonnell Thank you Neil!😀,2021-06-23 04:24:24+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1375167589261934594,False,1375167589261934594,@ChelseaKrost It all starts with the foundation! So true.,2021-03-25 19:27:57+00:00,Dede_Watson,False,0,3,{'number of replies found': 0},[]
1375166356077871111,False,1375166356077871111,@ChelseaKrost Hey Chelsea!😀,2021-03-25 19:23:03+00:00,Dede_Watson,False,0,1,{'number of replies found': 0},[]
1374804507255783426,False,1374804507255783426,@EraldoMaglara @FOX5Vegas These look great Eraldo! Especially like the push-up exercise!,2021-03-24 19:25:11+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1359945918775234561,False,1359945918775234561,@ChelseaKrost Yay!!! Excited for this chat!😀,2021-02-11 19:22:28+00:00,Dede_Watson,False,0,1,{'number of replies found': 0},[]
1359309411861282817,False,1359309411861282817,Still time to jump in on #MillennialTalk! #videomarketing #livestreaming,2021-02-10 01:13:13+00:00,Dede_Watson,True,3,14,{'number of replies found': 0},[]
1359307179828862977,False,1359307179828862977,Excited for this chat tonight! Really need to up my #livestreaming game!! #MillennialTalk,2021-02-10 01:04:21+00:00,Dede_Watson,False,0,8,{'number of replies found': 0},[]
1339552050036793344,False,1339552050036793344,@Neil_ODonnell Thank you Neil!!!,2020-12-17 12:44:31+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1339552008601296897,False,1339552008601296897,"RT @Neil_ODonnell: For those needing Branding, Development &amp; Content Strategy go w/a FORBES Top 50 Social Media Power Influencer @Dede_Wats…",2020-12-17 12:44:21+00:00,Dede_Watson,True,2,0,{'number of replies found': 0},[]
1339253072183382021,False,1339253072183382021,@headlinervideo Is your app down? Please check your dm!,2020-12-16 16:56:29+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1323324714102722566,False,1323324714102722566,"@ChelseaKrost Amen Chelsea!!! I have removed myself as much as I can emotionally! I voted, which was the most impor… https://t.co/g1BSp26tI2",2020-11-02 18:02:52+00:00,Dede_Watson,False,0,0,{'number of replies found': 0},[]
1321211979810381826,False,1321211979810381826,@SociallySteph Yes!! Glad you’re doing well! Been busy with work and moving.,2020-10-27 22:07:37+00:00,Dede_Watson,False,0,1,{'number of replies found': 0},[]
1320909723252756483,False,1320909723252756483,@SociallySteph Hi Stephanie!! How have you been???,2020-10-27 02:06:33+00:00,Dede_Watson,False,0,1,{'number of replies found': 0},[]
1444661328757628939,False,1444661328757628939,This years MacArthur Genius fellows are truly inspiring. We’ve been listening to interviews on @NPR all week. Follo… https://t.co/Toj0Wc9raK,2021-10-03 13:51:15+00:00,tedcoine,False,0,0,{'number of replies found': 0},[]
1444655228100489220,False,1444655228100489220,RT @LillyLyle: This is *absolutely* the funniest thing I've seen this year 😂,2021-10-03 13:27:01+00:00,tedcoine,True,3,0,{'number of replies found': 0},[]
1444422217064984583,False,1444422217064984583,Patriotic wimps beat dumb evil guys by a landslide! https://t.co/tGJdyjEqAx,2021-10-02 22:01:07+00:00,tedcoine,False,0,0,{'number of replies found': 0},[]
1444033390085296129,False,1444033390085296129,"“That’s not true” courteous, insistent fact-checking smack down is why we support @NPR as sustaining members. Kudos @LeilaFadel !!!",2021-10-01 20:16:03+00:00,tedcoine,False,0,4,{'number of replies found': 0},[]
1444024371627139077,False,1444024371627139077,@st3v0r Nice.,2021-10-01 19:40:13+00:00,tedcoine,False,0,0,{'number of replies found': 0},[]
1442961894885629952,False,1442961894885629952,"Just announced today by @macfound, the 2021 MacArthur Fellows (#MacFellow). Check out how they are demonstrating th… https://t.co/CZHgtdWQGd",2021-09-28 21:18:19+00:00,tedcoine,False,0,3,{'number of replies found': 0},[]
1442948404812734468,False,1442948404812734468,Wait - who is that 20%??? https://t.co/tGJdyjmPbX,2021-09-28 20:24:43+00:00,tedcoine,False,0,1,{'number of replies found': 0},[]
1442947999789830145,False,1442947999789830145,"@ShotOutShawty LOL. If you vote 3rd party or don’t vote at all, you’re voting for whoever wins. I can’t take that chance with my vote.",2021-09-28 20:23:06+00:00,tedcoine,False,0,2,{'number of replies found': 0},[]
1442946014587932678,False,1442946014587932678,"As we emerge from the shadows of the past two years, a moment to celebrate. Check out the 2021 @macfound Fellows (… https://t.co/rItm4gkSqF",2021-09-28 20:15:13+00:00,tedcoine,False,0,4,{'number of replies found': 0},[]
1442645828598853632,False,1442645828598853632,"Bummer that the patriotic ones are wimps, tho.",2021-09-28 00:22:23+00:00,tedcoine,False,0,0,{'number of replies found': 0},[]
1442645324418347011,False,1442645324418347011,@Ninainnac These squirrels think they’re kangaroos.,2021-09-28 00:20:23+00:00,tedcoine,False,0,1,{'number of replies found': 0},[]
1442644207340904448,False,1442644207340904448,@st3v0r There’s always the vaccine. That’s what my family and I chose. Very grateful we did.,2021-09-28 00:15:56+00:00,tedcoine,False,0,0,{'number of replies found': 0},[]
1442643469994889221,False,1442643469994889221,@GrantEpstein As we have seen.,2021-09-28 00:13:00+00:00,tedcoine,False,0,0,{'number of replies found': 0},[]
