id,date,text,comments,retweet_count
Martin Lorance,2014-12-30 11:32:18+00:00,"Top Reasons to Visit Thailand
http://t.co/EQVzpkVXEm http://t.co/BhDHCEJPNX",[],5
Martin Lorance,2014-12-30 11:31:50+00:00,"Top Places to visit in Melbourne Florida
http://t.co/Hg9tIQ5OIM http://t.co/sCDAI6p1I4",[],0
Martin Lorance,2014-12-30 11:31:10+00:00,"Top Islands in Malaysia for Travelers
http://t.co/yjc7tb09yj http://t.co/A5GL3FWrx3",[],1
Martin Lorance,2014-12-30 09:53:46+00:00,Thailand is an ideal destination for tourist seeking an exotic getaway. The country is popular for its historical... http://t.co/6635VXE7Kk,[],0
Martin Lorance,2014-12-30 09:51:47+00:00,Melbourne is known to be one of the Florida’s most ancient cities that are full of history. It is also a city of... http://t.co/b6P9MFlYiT,[],0
Martin Lorance,2014-12-30 09:51:12+00:00,One of the main reasons that make Malaysia to stand out among other popular tourist attractions is due to its... http://t.co/dWDJToOcZa,[],0
Martin Lorance,2014-12-06 09:59:38+00:00,"RT @TwavelTweeter: Is a #cashew a fruit or a nut? http://t.co/H3p2cDTDYM #TravelBoldly #Rio de Janeiro, #Brazil",[],1
Martin Lorance,2014-12-06 09:59:36+00:00,RT @Roamancing: More on ... in the afternoon. #PubHoppingOntheSketchySide of #Victoria! Now we need to sleep!  Alarm coming too soon!,[],1
Martin Lorance,2014-12-06 09:59:34+00:00,RT @mrdavidwhitley: @Aerohaveno Yep. I'm pretty much blocked up until mid-Feb. But after that it'll go dry as I've got to be at home for at…,[],1
Martin Lorance,2014-12-06 09:59:31+00:00,RT @Aerohaveno: @mrdavidwhitley Always frustrating. At least this year I've scored a number of articles to write during the brain-dead seas…,[],1
Martin Lorance,2014-12-06 09:59:29+00:00,"RT @mrdavidwhitley: Well, looking through that gargantuan list of unpaid invoices has put me thoroughly into the festive spirit.",[],3
Martin Lorance,2014-12-06 09:59:27+00:00,RT @Bairdtravels: Edinburgh at Christmas http://t.co/wPm63x0XuF,[],1
Martin Lorance,2014-12-06 09:59:17+00:00,RT @GALLERY_PIECES: http://t.co/FKSKVT5N2f http://t.co/WlbMYXwBYA ☼,[],3
Martin Lorance,2014-12-06 09:59:13+00:00,RT @journeyjottings: The Journey Jottings Daily is out! http://t.co/fJiaONqOK7 Stories via @cre8ive3dom @Write_On_It @SiripalaBot,[],1
Martin Lorance,2014-12-06 09:59:09+00:00,RT @skconcepts: What Is Your Social Media Value Proposition? http://t.co/TFDJR76sYJ via @SteamFeedcom,[],2
Martin Lorance,2014-12-06 09:59:06+00:00,"RT @keighleybus: ROADWORKS -SAT 6/SUN 7 DEC - SERVICE 66/66A From 9am Holme Lane,Crosshills closed buses to divert shuttle bus to run http:…",[],2
Martin Lorance,2014-12-06 09:59:05+00:00,RT @OrnaOR: 7 Really Great Resources That Will Prepare You For Italy http://t.co/nLCLTYAQCQ via @dirtyfilthyME,[],1
Martin Lorance,2014-12-06 09:59:03+00:00,"RT @ExperienceEgypt: #DYK that #Jesus &amp; #Virgin #Mary were among #Egypt's early #tourists?
#Visit_Egypt &amp; #follow the #HolyFamilyTrail :) h…",[],9
Martin Lorance,2014-12-02 09:07:18+00:00,"For some people, staying in hostels is their number one choice. This is probably because they love the companies... http://t.co/wCID7ZpYjj",[],0
Martin Lorance,2014-12-01 07:17:46+00:00,RT @RandomlyRachels: Check out our itinerary and budget for our trip to #Oahu #travelbloggers http://t.co/39vKh0fMOc,[],4
