id,date,text
Get Fit Slowly,2016-02-22 17:19:58+00:00,RT @gymventure: Best Yoga Mats for all Yoga Types // Top 10 Yoga Mats for 2016 https://t.co/WzyEHjUzc6 https://t.co/4r5csjHFVD
Get Fit Slowly,2016-02-21 20:58:23+00:00,RT @gymventure: Choosing the Best Olympic Weight Bench – 5 Top Rated Weight Benches https://t.co/uw4ezQvUlv https://t.co/WLpWj6WJPu
Get Fit Slowly,2016-02-20 00:14:13+00:00,RT @gymventure: Equip Your Home Gym With the Best Adjustable Dumbbells - Top 10 Choices for 2016 https://t.co/HBV71dS2HG https://t.co/rklEh…
Get Fit Slowly,2016-02-19 00:28:04+00:00,"RT @Top10Supps: Top 10 Pre-Workout Supplements Specifically for Ladies // Check Them Out //
https://t.co/Rfoep7yYyT https://t.co/fscVzoyIzO"
Get Fit Slowly,2016-02-18 22:54:42+00:00,"RT @gymventure: Common Gym Questions – 10 FAQs Every Gym Rat Should Know
https://t.co/RlE9CyF2uz https://t.co/GHDt4qWThA"
Get Fit Slowly,2016-02-16 13:40:32+00:00,RT @gymventure: Scientifically proven that music helps your workout -Make sure you have some good headphones https://t.co/DUpxNJknOv https:…
Get Fit Slowly,2016-02-15 13:05:56+00:00,RT @gymventure: We take a look at some of the best protein powder supplements available in 2016 - Our Top 10 https://t.co/xCu6wwa8bl https:…
Get Fit Slowly,2016-02-13 21:27:50+00:00,RT @gymventure: In Need of Awesome Garage Gym Ideas? Here's 100 Inspirational Home Gym Photos to get you… https://t.co/1PmLS6kUbk https://t…
Get Fit Slowly,2016-02-12 01:13:21+00:00,RT @gymventure: Don't forget this 🙌💯 https://t.co/Tt9tTilO42
Get Fit Slowly,2016-02-11 16:31:52+00:00,RT @gymventure: What Are The Best Pre-Workout Supplements for 2016? We Look at 10 Awesome PWO Supplements // https://t.co/YVR1R9C9Hn https:…
Get Fit Slowly,2016-02-11 01:31:30+00:00,RT @gymventure: Keep Your Hands Healthy! - Picking the Best Weight Lifting Gloves - Top 10 for 2016 --&gt; https://t.co/EwMaPAroh9 https://t.c…
Get Fit Slowly,2016-02-10 21:21:31+00:00,"RT @gymventure: Recover Quicker, Get Strong --&gt; Best Post Workout Supplements for 2016 – Top 10 Products https://t.co/dUyVZb8TLb https://t.…"
Get Fit Slowly,2016-02-09 19:56:07+00:00,RT @gymventure: Handy Guide to Picking the Best Gym Shoes for Men - Top 10 for 2016 https://t.co/YnR7pdUaTV https://t.co/7oKAjfNbdw
