id,date,text
maryanne conlin,2021-10-05 02:55:37+00:00,Learning how far we've come in rescuing wildlife after an #OilSpill Still. Gobsmacked this keeps happening! https://t.co/Jnnbg79RZI
maryanne conlin,2021-10-05 00:51:51+00:00,RT @oiledwildlife: 1st bird treated today by @oiledwildlife vet Dr. Duane Tom was a 95% oiled Sanderling. The bird was alert &amp; appeared hea…
maryanne conlin,2021-10-04 21:37:51+00:00,"@Econ_Marshall @graykimbrough I never met a NIMBY who didn't have ""value of my asset"" as their one and only argument."
maryanne conlin,2021-10-04 21:22:47+00:00,"@Econ_Marshall Not as snappy, but better put as: ""control over a portion of total cost of housing."" Going to be som… https://t.co/1OXdCop4EP"
maryanne conlin,2021-10-03 16:05:15+00:00,@Hannahnfry Readers can donate to wildlife rescue effort here @WWCCOC https://t.co/eaCca1FTEl
maryanne conlin,2021-10-03 16:00:26+00:00,@ocbeaches Please publish how to donate to wildlife rescue at @WWCCOC https://t.co/CfKZGQ4FSz
maryanne conlin,2021-10-03 15:53:47+00:00,@WWCCOC Will do!
maryanne conlin,2021-10-03 15:50:02+00:00,"@michelegiletv @CBSLA Please share donation link to help support wildlife rescue
https://t.co/CfKZGQ4FSz"
maryanne conlin,2021-10-03 15:37:57+00:00,"Here's where you can donate #huntingtonbeachoilspill #oilspill
https://t.co/eaCca1FTEl"
maryanne conlin,2021-10-03 15:35:17+00:00,Major #OilSpill - impact on native species. Pls donate! https://t.co/AJ690ve019
maryanne conlin,2021-10-02 16:25:13+00:00,This is I love Twitter - #random yet thought provoking https://t.co/eVgrzm43jz
maryanne conlin,2021-10-02 16:22:48+00:00,"@heylgo Yet - in sales positions, those skills are highly valued - maybe we should just adopt the existing branding… https://t.co/Iih5TOcAn9"
maryanne conlin,2021-10-02 16:17:55+00:00,"@JonBoeckenstedt Interpret as: ""We have this technical skill set that we want to sell to higher ed. We know nothing… https://t.co/DCfdyIT3z4"
maryanne conlin,2021-10-02 15:40:39+00:00,"@janecoaston Reading this after watching #Bridgerton makes me see parallels with aristocracy and ""cits"" in early 1800's"
maryanne conlin,2021-10-01 14:34:10+00:00,@NelsonLichtens1 Can we just say: the ftc returning to its original fuction?
maryanne conlin,2021-10-01 14:30:23+00:00,What she said! https://t.co/Rs75pKNWi3
maryanne conlin,2021-09-28 04:33:23+00:00,"@JonBoeckenstedt You don't need higher math to 🔺️supply. The magic # is 9. As long as all 9 are from Ivys, the sign… https://t.co/RLPKRjMsb7"
maryanne conlin,2021-09-22 19:46:25+00:00,@WorkingNation Sorry to miss #TalkAboutWork - good conversation!
maryanne conlin,2021-09-22 03:08:46+00:00,@PrestonCooper93 Poor outcomes are retention related. We have to start acknowledging that most cc students follow n… https://t.co/ojJFe0SlcR
maryanne conlin,2021-09-18 23:51:21+00:00,RT @James_S_Murphy: This is a very good thread to read about letters of recommendation from a former admissions officer who now works with…
