id,date,text
John Dramani Mahama,2021-09-19 12:58:30+00:00,"She was an embodiment of limitless courage, commitment and passion for service. May her soul rest in eternal glory.
2/2"
John Dramani Mahama,2021-09-19 12:58:29+00:00,"I have received with deep sadness, news of the demise of one of the most inspirational icons to have served our par… https://t.co/kU5Yfkircl"
John Dramani Mahama,2021-09-18 06:09:15+00:00,"This government must accept that it is their mismanagement of the economy, their thirst for consumption expenditure… https://t.co/lH8b8D9WK3"
John Dramani Mahama,2021-09-18 06:09:14+00:00,This has led to rampant increments in the prices of goods and services. This is primarily responsible for the hards… https://t.co/7fmmCAseBH
John Dramani Mahama,2021-09-18 06:09:14+00:00,Our debt has ballooned to unsustainable levels- topping 80% of GDP- exposing us to very high risk of debt default.… https://t.co/LvzPJLP2h2
John Dramani Mahama,2021-09-16 07:37:21+00:00,"… inflation etc., and say that life is better for them. And that the perception of hardship in Ghana is a creation of Mahama. 
2/2"
John Dramani Mahama,2021-09-16 07:37:20+00:00,"Our people are galled by the hypocrisy of so-called economic experts, asking them in 2016 to forget about economic… https://t.co/2Or44ah0HD"
John Dramani Mahama,2021-09-13 12:02:00+00:00,"I just got off the phone with my brother, Dr. Mahamudu Bawumia, to console him and the entire family on the loss of… https://t.co/d4gJcEbzbx"
John Dramani Mahama,2021-09-07 07:28:43+00:00,"#JMTours 

https://t.co/V3vkM86LvL"
John Dramani Mahama,2021-08-19 06:40:17+00:00,https://t.co/75AhY2bEeH
John Dramani Mahama,2021-08-17 13:56:48+00:00,In the studio of URA Radio in #Bolgatanga earlier today before the start of my tour to thank and express the apprec… https://t.co/wiWQhrRL3A
John Dramani Mahama,2021-07-24 20:57:58+00:00,"Centuries will come and go, and monuments will rise and fall, but your name, Prof., will last throughout the ages. https://t.co/VjoSXfnBuO"
John Dramani Mahama,2021-07-21 06:59:49+00:00,"Happy birthday Prof. 
Continue to Rest In Peace. https://t.co/1sBAlRRYVV"
John Dramani Mahama,2021-07-05 10:06:35+00:00,"It’s a March for Justice. 

https://t.co/KF46KX7vVN"
John Dramani Mahama,2021-06-29 20:15:08+00:00,"I urgently call on President Nana Akufo-Addo to initiate an immediate de-escalation of the situation in Ejura. 

https://t.co/BS3pgYOOiJ"
John Dramani Mahama,2021-06-28 16:03:50+00:00,"Get ready and get yourself counted. 
2021 National Population and Housing Census. 

https://t.co/FhwLIUAHpW"
John Dramani Mahama,2021-06-27 07:47:46+00:00,"I joined the family, friends and colleagues of my friend, comrade and brother, Kwesi Sainti Baffoe Bonnie (Babo) at… https://t.co/aAw7ms7vNF"
John Dramani Mahama,2021-05-20 19:00:21+00:00,https://t.co/FfKnrrOA1H
John Dramani Mahama,2021-05-13 09:38:37+00:00,Wishing you and your family a Blessed Eid. https://t.co/xfTCWUU73t
John Dramani Mahama,2021-05-03 20:06:01+00:00,I encourage President Nana Akufo-Addo to seize the occasion to create an atmosphere that is more tolerant of critic… https://t.co/TGcTmSIZck
toomas hendrik ilves,2021-10-05 20:59:21+00:00,"RT @FBoversight: ""It’s time to stand up to Facebook"" writes columnist @JRubinBlogger in this brilliant oped for the @washingtonpost, where…"
toomas hendrik ilves,2021-10-05 20:58:58+00:00,"RT @msolurin: Interesting how NYPD isn’t beating, arresting, or hitting them with cars. Wonder what’s different"
toomas hendrik ilves,2021-10-05 20:57:54+00:00,RT @juliettekayyem: This is a key point because it helps define what Haugen's testimony has done today. She is launching what might be call…
toomas hendrik ilves,2021-10-05 20:50:40+00:00,"RT @TatAtfender: Head of Ukreximbank, Ukraine’s state-owned bank, who also happened to be Zelensky’s friend, did not like a Q  from a @radi…"
toomas hendrik ilves,2021-10-05 20:49:53+00:00,RT @OlgaNYC1211: Since Facebook is in the news again a reminder Zuckerberg met with Medvedev to discuss their role in US elections in 2012.
